#,Couple,Dance,Song,Date,Series,Week,Order,Craig,Arlene,Darcey,Len,Alesha,Shirley,Guest,Motsi,Bruno,Total,Type
25,Chris & Hanna,Foxtrot,Flying Without Wings,"Series 1, Week 04",1,4,2,6,7,-,8,-,-,-,-,7,28,Ballroom
26,Verona & Paul,Paso doble,Bolero,"Series 1, Week 04",1,4,3,5,6,-,6,-,-,-,-,7,24,Latin
27,Natasha & Brendan,Foxtrot,Girl From Ipanema,"Series 1, Week 04",1,4,4,8,9,-,9,-,-,-,-,9,35,Ballroom
28,Lesley & Anton,Paso doble,Scott & Fran's Paso Doble,"Series 1, Week 04",1,4,5,7,7,-,8,-,-,-,-,8,30,Latin
29,Martin & Erin,Foxtrot,Let's Do It (Let's Fall In Love),"Series 1, Week 04",1,4,6,6,5,-,7,-,-,-,-,6,24,Ballroom
30,Lesley & Anton,Samba,Mas Que Nada,"Series 1, Week 05",1,5,1,7,6,-,7,-,-,-,-,7,27,Latin
31,Martin & Erin,Samba,Crickets Sing For Ana Maria,"Series 1, Week 05",1,5,2,5,5,-,6,-,-,-,-,6,22,Latin
32,Chris & Hanna,Samba,Soul Bossa Nova,"Series 1, Week 05",1,5,3,3,4,-,4,-,-,-,-,4,15,Latin
33,Claire & John,Samba,Shake Your Bon-Bon,"Series 1, Week 05",1,5,4,8,8,-,8,-,-,-,-,8,32,Latin
34,Natasha & Brendan,Samba,Love Is In The Air,"Series 1, Week 05",1,5,5,9,10,-,9,-,-,-,-,9,37,Latin
35,Martin & Erin,Quickstep,It Don't Mean A Thing (If It Ain't Got That Swing),"Series 1, Week 06",1,6,1,5,6,-,6,-,-,-,-,7,24,Ballroom
36,Natasha & Brendan,Tango,Libertango,"Series 1, Week 06",1,6,2,8,7,-,8,-,-,-,-,8,31,Ballroom
37,Chris & Hanna,Waltz,I Have Nothing,"Series 1, Week 06",1,6,3,5,6,-,5,-,-,-,-,6,22,Ballroom
38,Lesley & Anton,Foxtrot,I've Got You Under My Skin,"Series 1, Week 06",1,6,4,8,8,-,9,-,-,-,-,9,34,Ballroom
39,Martin & Erin,Cha cha cha,Smooth,"Series 1, Week 06",1,6,5,6,6,-,6,-,-,-,-,6,24,Latin
40,Natasha & Brendan,Rumba,Endless Love,"Series 1, Week 06",1,6,6,9,9,-,9,-,-,-,-,9,36,Latin
41,Chris & Hanna,Paso doble,Bamboleo,"Series 1, Week 06",1,6,7,3,4,-,5,-,-,-,-,3,15,Latin
42,Lesley & Anton,Cha cha cha,Spinning Around,"Series 1, Week 06",1,6,8,6,6,-,7,-,-,-,-,7,26,Latin
43,Lesley & Anton,Quickstep,That Old Black Magic,"Series 1, Week 07",1,7,1,8,8,-,8,-,-,-,-,9,33,Ballroom
44,Natasha & Brendan,Waltz,With You I'm Born Again,"Series 1, Week 07",1,7,2,9,9,-,9,-,-,-,-,9,36,Ballroom
45,Chris & Hanna,Tango,Toxic,"Series 1, Week 07",1,7,3,2,6,-,7,-,-,-,-,6,21,Ballroom
46,Lesley & Anton,Jive,My Baby Just Cares For Me,"Series 1, Week 07",1,7,4,7,7,-,8,-,-,-,-,7,29,Latin
47,Natasha & Brendan,Paso doble,O Fortuna,"Series 1, Week 07",1,7,5,8,9,-,9,-,-,-,-,9,35,Latin
48,Chris & Hanna,Rumba,Careless Whisper,"Series 1, Week 07",1,7,6,2,4,-,5,-,-,-,-,5,16,Latin
49,Natasha & Brendan,Quickstep,The Lady Is A Tramp,"Series 1, Week 08",1,8,1,9,9,-,9,-,-,-,-,9,36,Ballroom
50,Chris & Hanna,Waltz,I Have Nothing,"Series 1, Week 08",1,8,2,6,5,-,6,-,-,-,-,7,24,Ballroom
51,Natasha & Brendan,Samba,Love Is In The Air,"Series 1, Week 08",1,8,3,7,7,-,9,-,-,-,-,8,31,Latin
52,Chris & Hanna,Jive,Do You Love Me?,"Series 1, Week 08",1,8,4,3,3,-,7,-,-,-,-,4,17,Latin
53,Natasha & Brendan,Show dance,(I've Had) The Time Of My Life,"Series 1, Week 08",1,8,5,8,9,-,9,-,-,-,-,9,35,Speciality
54,Chris & Hanna,Show dance,Fame!,"Series 1, Week 08",1,8,6,4,6,-,7,-,-,-,-,5,22,Speciality
55,Julian & Erin,Cha cha cha,I'm Outta Love,"Series 2, Week 01",2,1,1,4,4,-,5,-,-,-,-,6,19,Latin
56,Carol & Paul,Waltz,Abergavenny,"Series 2, Week 01",2,1,2,5,6,-,5,-,-,-,-,6,22,Ballroom
57,Diarmuid & Nicole,Cha cha cha,September,"Series 2, Week 01",2,1,3,2,2,-,4,-,-,-,-,4,12,Latin
58,Esther & Anton,Waltz,Moon River,"Series 2, Week 01",2,1,4,5,6,-,6,-,-,-,-,7,24,Ballroom
59,Quentin & Hazel,Cha cha cha,Pink Cadillac,"Series 2, Week 01",2,1,5,1,1,-,3,-,-,-,-,3,8,Latin
60,Sarah & Brendan,Waltz,I Wonder Why,"Series 2, Week 01",2,1,6,6,7,-,7,-,-,-,-,8,28,Ballroom
61,Roger & Camilla,Cha cha cha,Get The Party Started,"Series 2, Week 01",2,1,7,6,6,-,7,-,-,-,-,6,25,Latin
62,Denise & Ian,Waltz,True Love,"Series 2, Week 01",2,1,8,7,8,-,8,-,-,-,-,8,31,Ballroom
63,Aled & Lilia,Cha cha cha,She Bangs,"Series 2, Week 01",2,1,9,7,7,-,8,-,-,-,-,7,29,Latin
64,Jill & Darren,Waltz,Weekend In New England,"Series 2, Week 01",2,1,10,7,7,-,6,-,-,-,-,7,27,Ballroom
65,Jill & Darren,Rumba,Lady In Red,"Series 2, Week 02",2,2,1,8,8,-,8,-,-,-,-,8,32,Latin
66,Aled & Lilia,Quickstep,Cabaret,"Series 2, Week 02",2,2,2,7,6,-,7,-,-,-,-,7,27,Ballroom
67,Sarah & Brendan,Rumba,I Don't Want To Miss A Thing,"Series 2, Week 02",2,2,3,5,6,-,6,-,-,-,-,6,23,Latin
68,Roger & Camilla,Quickstep,Mack The Knife,"Series 2, Week 02",2,2,4,5,5,-,6,-,-,-,-,6,22,Ballroom
69,Esther & Anton,Rumba,The Look Of Love,"Series 2, Week 02",2,2,5,2,4,-,5,-,-,-,-,5,16,Latin
70,Diarmuid & Nicole,Quickstep,I'll Be There For You,"Series 2, Week 02",2,2,6,2,3,-,4,-,-,-,-,3,12,Ballroom
71,Carol & Paul,Rumba,Truly,"Series 2, Week 02",2,2,7,5,4,-,5,-,-,-,-,6,20,Latin
72,Julian & Erin,Quickstep,Sparkling Diamonds,"Series 2, Week 02",2,2,8,6,7,-,7,-,-,-,-,7,27,Ballroom
73,Denise & Ian,Rumba,My Heart Will Go On,"Series 2, Week 02",2,2,9,8,8,-,8,-,-,-,-,8,32,Latin
74,Roger & Camilla,Jive,Teenage Wedding,"Series 2, Week 03",2,3,1,6,6,-,7,-,-,-,-,6,25,Latin
75,Julian & Erin,Tango,El Tango de Roxanne,"Series 2, Week 03",2,3,2,6,7,-,7,-,-,-,-,7,27,Ballroom
76,Jill & Darren,Jive,I'm Still Standing,"Series 2, Week 03",2,3,3,8,9,-,9,-,-,-,-,9,35,Latin
77,Esther & Anton,Tango,Tanguera,"Series 2, Week 03",2,3,4,2,4,-,5,-,-,-,-,5,16,Ballroom
78,Denise & Ian,Jive,Some Girls,"Series 2, Week 03",2,3,5,6,6,-,6,-,-,-,-,7,25,Latin
79,Diarmuid & Nicole,Tango,Por Una Cabeza,"Series 2, Week 03",2,3,6,2,3,-,5,-,-,-,-,4,14,Ballroom
80,Aled & Lilia,Jive,Crazy Little Thing Called Love,"Series 2, Week 03",2,3,7,8,8,-,8,-,-,-,-,8,32,Latin
81,Sarah & Brendan,Tango,Hernando's Hideaway,"Series 2, Week 03",2,3,8,7,8,-,8,-,-,-,-,8,31,Ballroom
82,Denise & Ian,Foxtrot,Let There Be Love,"Series 2, Week 04",2,4,1,7,7,-,8,-,-,-,-,8,30,Ballroom
83,Sarah & Brendan,Paso doble,Bring Me To Life,"Series 2, Week 04",2,4,2,8,7,-,6,-,-,-,-,8,29,Latin
84,Aled & Lilia,Foxtrot,It Ain't What You Do,"Series 2, Week 04",2,4,3,7,6,-,6,-,-,-,-,6,25,Ballroom
85,Julian & Erin,Paso doble,Entry Of The Toreodors,"Series 2, Week 04",2,4,4,4,5,-,6,-,-,-,-,5,20,Latin
86,Roger & Camilla,Foxtrot,Why Don't You Do Right?,"Series 2, Week 04",2,4,5,6,8,-,8,-,-,-,-,7,29,Ballroom
87,Diarmuid & Nicole,Paso doble,L'Amour Est Un Oiseau Rouge,"Series 2, Week 04",2,4,6,3,4,-,5,-,-,-,-,5,17,Latin
88,Jill & Darren,Foxtrot,All That Jazz,"Series 2, Week 04",2,4,7,8,9,-,9,-,-,-,-,8,34,Ballroom
89,Sarah & Brendan,Samba,Kiss Kiss,"Series 2, Week 05",2,5,1,5,6,-,6,-,-,-,-,6,23,Latin
90,Julian & Erin,Samba,Conga,"Series 2, Week 05",2,5,2,5,5,-,7,-,-,-,-,7,24,Latin
91,Denise & Ian,Samba,Tequila,"Series 2, Week 05",2,5,3,7,8,-,8,-,-,-,-,9,32,Latin
92,Roger & Camilla,Samba,"Whenever, Wherever","Series 2, Week 05",2,5,4,4,5,-,7,-,-,-,-,7,23,Latin
93,Jill & Darren,Samba,Copacabana,"Series 2, Week 05",2,5,5,8,9,-,9,-,-,-,-,9,35,Latin
94,Aled & Lilia,Samba,It's Not Unusual,"Series 2, Week 05",2,5,6,6,8,-,8,-,-,-,-,8,30,Latin
95,Roger & Camilla,Waltz,She's The One,"Series 2, Week 06",2,6,1,5,5,-,6,-,-,-,-,6,22,Ballroom
96,Jill & Darren,Quickstep,Get Happy,"Series 2, Week 06",2,6,2,8,8,-,8,-,-,-,-,8,32,Ballroom
97,Julian & Erin,Waltz,You Light Up My Life,"Series 2, Week 06",2,6,3,7,7,-,7,-,-,-,-,7,28,Ballroom
98,Denise & Ian,Quickstep,"Sing, Sing, Sing","Series 2, Week 06",2,6,4,7,9,-,9,-,-,-,-,9,34,Ballroom
99,Aled & Lilia,Waltz,Love Ain't Here Anymore,"Series 2, Week 06",2,6,5,7,7,-,7,-,-,-,-,8,29,Ballroom
100,Roger & Camilla,Rumba,We've Got Tonight,"Series 2, Week 06",2,6,6,3,4,-,6,-,-,-,-,6,19,Latin
101,Jill & Darren,Cha cha cha,She's A Lady,"Series 2, Week 06",2,6,7,9,9,-,9,-,-,-,-,9,36,Latin
102,Julian & Erin,Rumba,You're Still The One,"Series 2, Week 06",2,6,8,6,7,-,7,-,-,-,-,7,27,Latin
103,Denise & Ian,Cha cha cha,Uptown Girl,"Series 2, Week 06",2,6,9,8,8,-,8,-,-,-,-,9,33,Latin
104,Aled & Lilia,Rumba,When You Say Nothing At All,"Series 2, Week 06",2,6,10,5,6,-,8,-,-,-,-,8,27,Latin
105,Aled & Lilia,Tango,Cell Block Tango (He Had It Comin'),"Series 2, Week 07",2,7,1,6,7,-,7,-,-,-,-,7,27,Ballroom
106,Jill & Darren,Tango,Objection Tango,"Series 2, Week 07",2,7,2,7,8,-,7,-,-,-,-,7,29,Ballroom
107,Julian & Erin,Foxtrot,Fever,"Series 2, Week 07",2,7,3,5,5,-,8,-,-,-,-,6,24,Ballroom
108,Denise & Ian,Tango,Goldfinger,"Series 2, Week 07",2,7,4,8,9,-,9,-,-,-,-,9,35,Ballroom
109,Aled & Lilia,Paso doble,Malaguena,"Series 2, Week 07",2,7,5,7,7,-,8,-,-,-,-,8,30,Latin
110,Jill & Darren,Paso doble,Espana Cani,"Series 2, Week 07",2,7,6,9,10,-,9,-,-,-,-,9,37,Latin
111,Julian & Erin,Jive,Wake Me Up Before You Go Go,"Series 2, Week 07",2,7,7,4,3,-,7,-,-,-,-,7,21,Latin
112,Denise & Ian,Paso doble,Don't Cry For Me Argentina,"Series 2, Week 07",2,7,8,9,9,-,9,-,-,-,-,9,36,Latin
113,Denise & Ian,Quickstep,"Sing, Sing, Sing","Series 2, Week 08",2,8,1,9,10,-,9,-,-,-,-,10,38,Ballroom
114,Jill & Darren,Foxtrot,All That Jazz,"Series 2, Week 08",2,8,2,9,8,-,9,-,-,-,-,8,34,Ballroom
115,Julian & Erin,Quickstep,Sparkling Diamonds,"Series 2, Week 08",2,8,3,7,7,-,8,-,-,-,-,7,29,Ballroom
116,Denise & Ian,Samba,Tequila,"Series 2, Week 08",2,8,4,8,8,-,8,-,-,-,-,9,33,Latin
117,Jill & Darren,Jive,I'm Still Standing,"Series 2, Week 08",2,8,5,10,10,-,10,-,-,-,-,10,40,Latin
118,Julian & Erin,Samba,Conga,"Series 2, Week 08",2,8,6,5,5,-,7,-,-,-,-,6,23,Latin
,Julian & Erin,Show dance,Take My Breath Away,"Series 2, Week 08",2,8,7,-,-,-,-,-,-,-,-,-,-,Speciality
,Denise & Ian,Show dance,I Wanna Dance With Somebody,"Series 2, Week 08",2,8,8,-,-,-,-,-,-,-,-,-,-,Speciality
,Jill & Darren,Show dance,Can't Take My Eyes Off You,"Series 2, Week 08",2,8,9,-,-,-,-,-,-,-,-,-,-,Speciality
119,Darren & Lilia,Cha cha cha,Hot Stuff,"Series 3, Week 01",3,1,1,3,4,-,6,-,-,-,-,6,19,Latin
120,Patsy & Anton,Waltz,Fly Me To The Moon,"Series 3, Week 01",3,1,2,3,4,-,6,-,-,-,-,6,19,Ballroom
121,Colin & Erin,Cha cha cha,Save The Last Dance For Me,"Series 3, Week 01",3,1,3,8,8,-,8,-,-,-,-,8,32,Latin
122,Siobhan & Matthew,Waltz,When The Girl In Your Arms Is The Girl In Your Heart,"Series 3, Week 01",3,1,4,2,4,-,5,-,-,-,-,4,15,Ballroom
123,James & Camilla,Cha cha cha,Something Got Me Started,"Series 3, Week 01",3,1,5,4,5,-,6,-,-,-,-,7,22,Latin
124,Gloria & Darren,Waltz,Lady,"Series 3, Week 01",3,1,6,4,5,-,7,-,-,-,-,6,22,Ballroom
125,Will & Hanna,Cha cha cha,Crazy Chick,"Series 3, Week 01",3,1,7,3,3,-,7,-,-,-,-,5,18,Latin
126,Jaye & Andrew,Waltz,When I Need You,"Series 3, Week 01",3,1,8,6,5,-,7,-,-,-,-,7,25,Ballroom
127,Bill & Karen,Cha cha cha,Love Potion Number Nine,"Series 3, Week 01",3,1,9,7,7,-,8,-,-,-,-,7,29,Latin
128,Fiona & Brendan,Waltz,Sam,"Series 3, Week 01",3,1,10,2,2,-,4,-,-,-,-,3,11,Ballroom
129,Dennis & Izabella,Cha cha cha,Music,"Series 3, Week 01",3,1,11,5,5,-,5,-,-,-,-,5,20,Latin
130,Zoe & Ian,Waltz,Take It To The Limit,"Series 3, Week 01",3,1,12,8,9,-,9,-,-,-,-,9,35,Ballroom
131,James & Camilla,Quickstep,Luck Be A Lady,"Series 3, Week 02",3,2,1,6,7,-,8,-,-,-,-,8,29,Ballroom
132,Jaye & Andrew,Rumba,How Could An Angel Break My Heart,"Series 3, Week 02",3,2,2,4,4,-,7,-,-,-,-,6,21,Latin
133,Dennis & Izabella,Quickstep,I'm So Excited,"Series 3, Week 02",3,2,3,4,5,-,5,-,-,-,-,4,18,Ballroom
134,Patsy & Anton,Rumba,She,"Series 3, Week 02",3,2,4,6,6,-,7,-,-,-,-,7,26,Latin
135,Darren & Lilia,Quickstep,Let Me Entertain You,"Series 3, Week 02",3,2,5,7,7,-,8,-,-,-,-,8,30,Ballroom
136,Zoe & Ian,Rumba,One Moment In Time,"Series 3, Week 02",3,2,6,7,8,-,8,-,-,-,-,9,32,Latin
137,Will & Hanna,Quickstep,You Can't Hurry Love,"Series 3, Week 02",3,2,7,7,7,-,8,-,-,-,-,7,29,Ballroom
138,Gloria & Darren,Rumba,Holding Back The Years,"Series 3, Week 02",3,2,8,2,4,-,5,-,-,-,-,6,17,Latin
139,Bill & Karen,Quickstep,Do Your Thing,"Series 3, Week 02",3,2,9,5,6,-,6,-,-,-,-,6,23,Ballroom
140,Fiona & Brendan,Rumba,Almost Here,"Series 3, Week 02",3,2,10,1,2,-,6,-,-,-,-,4,13,Latin
141,Colin & Erin,Quickstep,Nice Work If You Can Get It,"Series 3, Week 02",3,2,11,9,9,-,9,-,-,-,-,9,36,Ballroom
142,Zoe & Ian,Jive,Part Time Lover,"Series 3, Week 03",3,3,1,7,6,-,8,-,-,-,-,8,29,Latin
143,Bill & Karen,Tango,"Perhaps, Perhaps, Perhaps","Series 3, Week 03",3,3,2,4,5,-,6,-,-,-,-,5,20,Ballroom
144,Dennis & Izabella,Jive,Jailhouse Rock,"Series 3, Week 03",3,3,3,4,6,-,6,-,-,-,-,6,22,Latin
145,Patsy & Anton,Tango,Una Música Brutal,"Series 3, Week 03",3,3,4,8,8,-,9,-,-,-,-,9,34,Ballroom
146,Will & Hanna,Jive,Man I Feel Like A Woman,"Series 3, Week 03",3,3,5,6,5,-,7,-,-,-,-,7,25,Latin
147,Colin & Erin,Tango,Ride It,"Series 3, Week 03",3,3,6,7,5,-,7,-,-,-,-,7,26,Ballroom
148,Gloria & Darren,Jive,Build Me Up Buttercup,"Series 3, Week 03",3,3,7,3,4,-,6,-,-,-,-,6,19,Latin
149,James & Camilla,Tango,Mein Herr,"Series 3, Week 03",3,3,8,6,7,-,8,-,-,-,-,7,28,Ballroom
150,Fiona & Brendan,Jive,Hit The Road Jack,"Series 3, Week 03",3,3,9,2,4,-,5,-,-,-,-,5,16,Latin
151,Darren & Lilia,Tango,From Russia With Love,"Series 3, Week 03",3,3,10,8,9,-,8,-,-,-,-,8,33,Ballroom
152,Colin & Erin,Paso doble,Thriller,"Series 3, Week 04",3,4,1,8,7,-,8,-,-,-,-,8,31,Latin
153,Zoe & Ian,Foxtrot,Isn't She Lovely,"Series 3, Week 04",3,4,2,9,9,-,9,-,-,-,-,9,36,Ballroom
154,Dennis & Izabella,Paso doble,Eye Of The Tiger,"Series 3, Week 04",3,4,3,2,3,-,5,-,-,-,-,5,15,Latin
155,Will & Hanna,Foxtrot,Dream A Little Dream Of Me,"Series 3, Week 04",3,4,4,8,8,-,9,-,-,-,-,9,34,Ballroom
156,James & Camilla,Paso doble,Montagues and Capulets,"Series 3, Week 04",3,4,5,7,8,-,7,-,-,-,-,7,29,Latin
157,Fiona & Brendan,Foxtrot,Ain't That A Kick In The Head,"Series 3, Week 04",3,4,6,3,5,-,6,-,-,-,-,6,20,Ballroom
158,Bill & Karen,Paso doble,Carnival De Paris,"Series 3, Week 04",3,4,7,5,6,-,7,-,-,-,-,7,25,Latin
159,Patsy & Anton,Foxtrot,You're Nobody Till Somebody Loves You,"Series 3, Week 04",3,4,8,7,8,-,8,-,-,-,-,8,31,Ballroom
160,Darren & Lilia,Paso doble,Don't Let Me Be Misunderstood,"Series 3, Week 04",3,4,9,8,9,-,9,-,-,-,-,8,34,Latin
161,Darren & Lilia,Viennese Waltz,End Of The Road,"Series 3, Week 05",3,5,1,6,7,-,8,-,-,-,-,7,28,Ballroom
162,Dennis & Izabella,Samba,La Bamba,"Series 3, Week 05",3,5,2,5,5,-,6,-,-,-,-,7,23,Latin
163,Will & Hanna,Viennese Waltz,Somebody To Love,"Series 3, Week 05",3,5,3,4,6,-,6,-,-,-,-,7,23,Ballroom
164,Colin & Erin,Samba,Naughty Girl,"Series 3, Week 05",3,5,4,8,8,-,8,-,-,-,-,8,32,Latin
165,Bill & Karen,Viennese Waltz,Golden Brown,"Series 3, Week 05",3,5,5,6,7,-,7,-,-,-,-,7,27,Ballroom
166,Patsy & Anton,Samba,Go Back To My Roots,"Series 3, Week 05",3,5,6,6,6,-,7,-,-,-,-,7,26,Latin
167,James & Camilla,Viennese Waltz,Mr Bojangles,"Series 3, Week 05",3,5,7,5,8,-,8,-,-,-,-,8,29,Ballroom
168,Zoe & Ian,Samba,Aquarius,"Series 3, Week 05",3,5,8,8,9,-,9,-,-,-,-,9,35,Latin
169,James & Camilla,Jive,Why Do Fools Fall In Love,"Series 3, Week 06",3,6,1,5,4,-,6,-,-,-,-,5,20,Latin
170,Zoe & Ian,Quickstep,Almost Like Being In Love,"Series 3, Week 06",3,6,2,8,9,-,9,-,-,-,-,10,36,Ballroom
171,Bill & Karen,Rumba,Ain't No Sunshine,"Series 3, Week 06",3,6,3,2,5,-,6,-,-,-,-,4,17,Latin
172,Will & Hanna,Tango,Pretty Woman,"Series 3, Week 06",3,6,4,6,6,-,9,-,-,-,-,7,28,Ballroom
173,Patsy & Anton,Quickstep,Lover Come Back To Me,"Series 3, Week 06",3,6,5,7,8,-,8,-,-,-,-,8,31,Ballroom
174,Darren & Lilia,Jive,Everybody Needs Somebody,"Series 3, Week 06",3,6,6,7,7,-,8,-,-,-,-,8,30,Latin
175,Colin & Erin,Foxtrot,"New York, New York","Series 3, Week 06",3,6,7,8,8,-,8,-,-,-,-,8,32,Ballroom
176,Bill & Karen,Waltz,What The World Needs Now,"Series 3, Week 07",3,7,1,6,6,-,7,-,-,-,-,6,25,Ballroom
177,Patsy & Anton,Cha cha cha,A Little Less Conversation,"Series 3, Week 07",3,7,2,6,4,-,7,-,-,-,-,7,24,Latin
178,Colin & Erin,Viennese Waltz,Stop,"Series 3, Week 07",3,7,3,9,9,-,8,-,-,-,-,8,34,Ballroom
179,Zoe & Ian,Tango,Argentino,"Series 3, Week 07",3,7,4,9,10,-,9,-,-,-,-,10,38,Ballroom
180,Darren & Lilia,Foxtrot,Big Spender,"Series 3, Week 07",3,7,5,8,8,-,9,-,-,-,-,9,34,Ballroom
181,James & Camilla,Waltz,Together Again,"Series 3, Week 07",3,7,6,7,8,-,9,-,-,-,-,8,32,Ballroom
182,Colin & Erin,Rumba,You're Beautiful,"Series 3, Week 08",3,8,1,9,9,-,9,-,-,-,-,9,36,Latin
183,James & Camilla,Samba,All Night Long,"Series 3, Week 08",3,8,2,4,5,-,6,-,-,-,-,5,20,Latin
184,Patsy & Anton,Jive,Two Hearts,"Series 3, Week 08",3,8,3,6,6,-,7,-,-,-,-,8,27,Latin
185,Darren & Lilia,Rumba,Beautiful,"Series 3, Week 08",3,8,4,8,7,-,8,-,-,-,-,7,30,Latin
186,Zoe & Ian,Cha cha cha,Ain't No Stopping Us Now,"Series 3, Week 08",3,8,5,8,7,-,8,-,-,-,-,9,32,Latin
187,Colin & Erin,American Smooth,Me And My Shadow,"Series 3, Week 08",3,8,6,9,10,-,9,-,-,-,-,9,37,Speciality
188,James & Camilla,American Smooth,Call Me Irresponsible,"Series 3, Week 08",3,8,7,7,7,-,7,-,-,-,-,7,28,Speciality
189,Patsy & Anton,American Smooth,It Had To Be You,"Series 3, Week 08",3,8,8,7,8,-,8,-,-,-,-,8,31,Speciality
190,Darren & Lilia,American Smooth,(I Get The) Sweetest Feeling,"Series 3, Week 08",3,8,9,8,8,-,8,-,-,-,-,8,32,Speciality
191,Zoe & Ian,American Smooth,Passing Strangers,"Series 3, Week 08",3,8,10,9,9,-,9,-,-,-,-,9,36,Speciality
192,Darren & Lilia,Waltz,Your Song,"Series 3, Week 09",3,9,1,9,9,-,9,-,-,-,-,8,35,Ballroom
193,Zoe & Ian,Viennese Waltz,Always And Forever,"Series 3, Week 09",3,9,2,9,9,-,9,-,-,-,-,9,36,Ballroom
194,James & Camilla,Foxtrot,Beyond The Sea,"Series 3, Week 09",3,9,3,8,8,-,9,-,-,-,-,8,33,Ballroom
195,Colin & Erin,Waltz,I Will Always Love You,"Series 3, Week 09",3,9,4,9,9,-,10,-,-,-,-,9,37,Ballroom
196,Darren & Lilia,Samba,You To Me Are Everything,"Series 3, Week 09",3,9,5,6,7,-,9,-,-,-,-,7,29,Latin
197,Zoe & Ian,Paso doble,Manolita,"Series 3, Week 09",3,9,6,8,8,-,8,-,-,-,-,9,33,Latin
198,James & Camilla,Rumba,Home,"Series 3, Week 09",3,9,7,4,6,-,7,-,-,-,-,5,22,Latin
199,Colin & Erin,Jive,Footloose,"Series 3, Week 09",3,9,8,7,7,-,8,-,-,-,-,8,30,Latin
200,Colin & Erin,Quickstep,Nice Work If You Can Get It,"Series 3, Week 10",3,10,1,9,10,-,10,-,-,-,-,10,39,Ballroom
201,Darren & Lilia,Foxtrot,Big Spender,"Series 3, Week 10",3,10,2,8,9,-,10,-,-,-,-,9,36,Ballroom
202,Zoe & Ian,Tango,Argentino,"Series 3, Week 10",3,10,3,9,10,-,9,-,-,-,-,10,38,Ballroom
203,Colin & Erin,Rumba,You're Beautiful,"Series 3, Week 10",3,10,4,9,9,-,9,-,-,-,-,9,36,Latin
